Borrower ID,Member ID,Transaction Date,Transaction Type
1,1,2023-01-05,Checkout
2,2,2023-02-10,Return
3,3,2023-03-15,Renewal
4,4,2023-04-20,Reservation
5,5,2023-05-25,Fine Payment
6,6,2023-06-30,Checkout
7,7,2023-07-05,Return
8,8,2023-08-10,Renewal
9,9,2023-09-15,Reservation
10,10,2023-10-20,Fine Payment
11,11,2023-11-25,Checkout
12,12,2023-12-30,Return
13,13,2024-01-05,Renewal
14,14,2024-02-10,Reservation
15,15,2024-03-15,Fine Payment
16,16,2024-04-20,Checkout
17,17,2024-05-25,Return
18,18,2024-06-30,Renewal
19,19,2024-07-05,Reservation
20,20,2024-08-10,Fine Payment
21,21,2024-09-15,Checkout
22,22,2024-10-20,Return
23,23,2024-11-25,Renewal
24,24,2024-12-30,Reservation
25,25,2025-01-05,Fine Payment
26,26,2025-02-10,Checkout
27,27,2025-03-15,Return
28,28,2025-04-20,Renewal
29,29,2025-05-25,Reservation
30,30,2025-06-30,Fine Payment
31,31,2025-07-05,Checkout
32,32,2025-08-10,Return
33,33,2025-09-15,Renewal
34,34,2025-10-20,Reservation
35,35,2025-11-25,Fine Payment
36,36,2025-12-30,Checkout
37,37,2026-01-05,Return
38,38,2026-02-10,Renewal
39,39,2026-03-15,Reservation
40,40,2026-04-20,Fine Payment
41,41,2026-05-25,Checkout
42,42,2026-06-30,Return
43,43,2026-07-05,Renewal
44,44,2026-08-10,Reservation
45,45,2026-09-15,Fine Payment
46,46,2026-10-20,Checkout
47,47,2026-11-25,Return
48,48,2026-12-30,Renewal
49,49,2027-01-05,Reservation
50,50,2027-02-10,Fine Payment
51,51,2027-03-15,Checkout
52,52,2027-04-20,Return
53,53,2027-05-25,Renewal
54,54,2027-06-30,Reservation
55,55,2027-07-05,Fine Payment
56,56,2027-08-10,Checkout
57,57,2027-09-15,Return
58,58,2027-10-20,Renewal
59,59,2027-11-25,Reservation
60,60,2027-12-30,Fine Payment
61,61,2028-01-05,Checkout
62,62,2028-02-10,Return
63,63,2028-03-15,Renewal
64,64,2028-04-20,Reservation
65,65,2028-05-25,Fine Payment
66,66,2028-06-30,Checkout
67,67,2028-07-05,Return
68,68,2028-08-10,Renewal
69,69,2028-09-15,Reservation
70,70,2028-10-20,Fine Payment
71,71,2028-11-25,Checkout
72,72,2028-12-30,Return
73,73,2029-01-05,Renewal
74,74,2029-02-10,Reservation
75,75,2029-03-15,Fine Payment
76,76,2029-04-20,Checkout
77,77,2029-05-25,Return
78,78,2029-06-30,Renewal
79,79,2029-07-05,Reservation
80,80,2029-08-10,Fine Payment
81,81,2029-09-15,Checkout
82,82,2029-10-20,Return
83,83,2029-11-25,Renewal
84,84,2029-12-30,Reservation
85,85,2030-01-05,Fine Payment
86,86,2030-02-10,Checkout
87,87,2030-03-15,Return
88,88,2030-04-20,Renewal
89,89,2030-05-25,Reservation
90,90,2030-06-30,Fine Payment
91,91,2030-07-05,Checkout
92,92,2030-08-10,Return
93,93,2030-09-15,Renewal
94,94,2030-10-20,Reservation
95,95,2030-11-25,Fine Payment
96,96,2030-12-30,Checkout
97,97,2031-01-05,Return
98,98,2031-02-10,Renewal
99,99,2031-03-15,Reservation
100,100,2031-04-20,Fine Payment
